grain_type,initial_moisture_content,avg_internal_temp_c,days_since_fill,aeration_status,remaining_safe_storage_days
Rice,11.48,20.49,6,0,194
Wheat,15.78,31.49,74,1,196
Wheat,17.73,31.72,80,0,142
Rice,12.87,32.06,12,1,177
Corn,17.78,28.31,76,0,70
Corn,17.21,23.22,74,1,131
Corn,12.33,16.95,165,1,106
Wheat,15.7,29.85,5,0,167
Barley,14.02,28.33,122,1,185
Barley,11.43,34.11,61,0,160
Wheat,15.32,32.62,14,0,176
Wheat,14.39,28.12,9,1,230
Corn,15.28,32.64,37,0,123
Corn,15.43,20.08,61,0,133
Barley,16.12,23.68,155,0,145
Wheat,12.27,22.74,7,0,232
Wheat,11.61,25.94,26,0,196
Wheat,12.53,18.72,120,0,157
Corn,14.23,25.8,151,0,78
Rice,11.43,27.05,46,1,171
Rice,14.61,23.85,162,0,115
Corn,15.32,24.56,33,0,127
Wheat,15.5,23.51,88,1,205
Wheat,13.27,21.7,141,0,163
Corn,11.41,32.74,152,0,81
Wheat,16.43,25.0,123,0,155
Corn,16.61,19.03,92,1,159
Wheat,17.49,20.55,131,0,133
Rice,11.85,32.06,100,0,135
Corn,13.77,27.81,23,0,175
Barley,16.11,24.45,60,0,183
Wheat,12.3,25.5,155,1,181
Corn,16.31,27.55,69,1,148
Barley,14.03,28.32,37,1,231
Corn,13.39,23.34,62,1,167
Corn,12.04,18.75,44,0,173
Rice,16.19,28.22,143,0,90
Rice,14.51,31.83,154,1,118
Corn,16.45,32.16,145,0,34
Wheat,17.19,20.84,66,0,156
Rice,15.56,17.4,23,0,177
Wheat,17.75,27.05,114,0,132
Corn,13.57,25.34,40,0,133
Rice,13.48,32.13,163,0,80
Wheat,16.78,18.35,146,0,113
Wheat,11.98,19.61,86,1,224
Wheat,17.14,22.53,100,0,147
Rice,15.9,17.01,46,0,164
Wheat,16.39,17.57,14,1,241
Wheat,13.79,15.15,173,1,197
Rice,14.68,23.74,166,1,138
Wheat,16.03,26.16,63,1,189
Corn,11.76,15.28,49,1,186
Corn,16.25,28.39,172,1,91
Rice,13.51,31.23,24,1,217
Rice,17.77,32.54,108,0,73
Corn,16.88,25.49,89,0,103
Barley,15.08,24.03,46,0,192
Corn,13.63,29.64,111,1,115
Corn,17.38,17.78,9,1,184
Rice,16.39,29.07,117,1,144
Rice,17.24,23.38,101,0,118
Rice,13.69,25.18,27,1,204
Barley,13.71,23.52,130,0,137
Corn,17.64,25.11,159,0,41
Wheat,17.76,30.88,165,1,112
Barley,16.26,27.13,60,0,176
Corn,14.4,23.18,80,0,109
Corn,14.83,16.49,34,1,177
Wheat,14.41,33.35,87,0,140
Wheat,11.78,23.75,148,1,189
Corn,13.31,15.52,42,0,138
Wheat,16.34,19.1,87,0,150
Wheat,16.05,29.25,150,0,140
Wheat,15.3,24.62,119,0,144
Rice,14.72,24.1,144,0,96
Corn,16.13,26.17,150,0,92
Barley,17.86,33.41,18,1,182
Barley,11.23,33.38,128,1,197
Barley,12.31,31.61,39,1,247
Barley,13.29,15.48,117,1,242
Wheat,11.87,19.34,49,1,234
Corn,17.76,17.54,117,0,117
Rice,11.06,33.84,69,0,150
Corn,15.84,25.54,130,0,71
Wheat,17.68,26.96,98,1,157
Corn,14.77,18.73,80,1,149
Rice,11.11,21.18,151,1,147
Rice,14.93,19.58,160,0,83
Rice,16.52,34.67,15,0,112
Barley,15.46,30.19,16,0,217
Rice,14.93,20.22,43,1,216
Wheat,14.15,32.85,153,0,106
Barley,16.2,27.44,35,0,207
Rice,15.17,29.05,100,0,114
Corn,13.16,17.03,121,0,128
Barley,12.64,29.62,44,0,212
Corn,17.85,16.78,42,1,122
Barley,11.63,18.64,42,1,259
Corn,15.6,33.03,168,0,30
Corn,16.14,31.62,77,0,77
Corn,13.71,15.09,166,1,119
Corn,12.64,16.54,159,0,106
Corn,17.21,15.06,16,0,165
Wheat,16.14,22.97,140,1,180
Corn,11.6,19.15,63,1,185
Rice,15.26,21.1,111,1,151
Wheat,13.89,20.26,17,0,214
Wheat,14.09,17.15,131,0,181
Rice,15.49,16.69,52,1,182
Barley,16.97,23.58,33,1,193
Barley,15.2,29.57,49,0,201
Rice,13.55,33.41,19,0,171
Corn,16.22,25.82,106,0,107
Rice,11.29,30.46,179,0,85
Rice,16.85,33.31,61,1,124
Corn,11.27,27.14,127,1,89
Corn,13.66,29.99,91,1,139
Wheat,14.69,25.55,179,0,111
Rice,17.39,27.76,126,1,99
Barley,11.65,30.87,86,1,188
Wheat,14.64,19.38,52,0,199
Corn,14.05,29.97,153,1,82
Rice,12.16,32.25,22,0,147
Barley,15.33,17.78,149,0,181
Barley,14.84,33.3,64,1,176
Corn,15.98,27.61,50,1,159
Wheat,13.1,19.76,6,0,228
Barley,11.73,24.35,56,0,189
Corn,11.62,28.15,126,1,98
Wheat,12.19,34.66,172,1,147
Wheat,11.31,18.71,157,1,152
Wheat,17.76,30.4,48,1,156
Barley,13.04,28.75,99,0,154
Wheat,13.71,23.49,153,1,159
Barley,12.54,28.46,148,0,151
Corn,16.97,27.09,21,0,83
Barley,17.81,27.49,18,1,207
Wheat,13.5,26.63,24,0,204
Barley,12.67,16.63,150,0,161
Rice,11.71,19.53,62,1,196
Corn,16.83,28.79,176,1,52
Corn,11.9,23.78,54,0,118
Rice,12.17,22.35,47,0,176
Wheat,11.38,21.75,48,1,225
Barley,16.97,23.48,24,0,208
Barley,17.97,18.88,81,0,151
Rice,17.8,32.48,11,1,126
Rice,15.75,28.41,63,1,145
Rice,17.02,23.37,19,0,158
Rice,11.93,26.31,32,0,168
Wheat,15.31,23.22,34,1,228
Corn,13.03,17.0,53,1,172
Barley,17.85,15.96,97,0,160
Corn,15.12,18.52,31,1,184
Wheat,15.51,16.91,175,0,139
Corn,13.82,18.04,142,1,148
Corn,14.19,30.85,64,1,151
Rice,17.35,33.73,92,1,121
Wheat,12.08,22.42,135,1,188
Wheat,12.05,26.11,124,0,179
Wheat,16.45,15.94,44,0,221
Wheat,17.19,33.41,100,1,142
Corn,12.53,17.74,17,1,200
Barley,12.82,23.71,63,0,220
Wheat,17.21,17.67,9,0,180
Rice,13.18,21.74,24,1,205
Corn,12.64,24.4,110,0,119
Corn,15.68,32.13,121,0,96
Wheat,11.93,32.17,151,0,148
Corn,15.27,26.68,32,0,124
Rice,15.16,25.27,48,0,153
Rice,13.48,33.99,12,1,196
Corn,11.73,28.32,79,0,118
Wheat,14.64,15.76,165,0,145
Rice,17.88,21.91,100,1,115
Rice,13.71,25.3,127,0,124
Rice,16.26,15.92,111,0,137
Rice,16.56,31.83,53,1,120
